symbol,timestamp,timezone,session_date,session_type,regular_session,timeframe,open,high,low,close,volume,source,source_as_of,data_vendor,context_24h_status,context_24h_as_of,macro_context_status,macro_context_as_of,iv_context_status,iv_context_as_of,event_context_status,event_context_as_of,notes
IWM,2026-03-20T09:30:00-04:00,America/New_York,2026-03-20,regular,true,1h_rth,246.95,247.5,243.39,243.49,4452211.0,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
IWM,2026-03-20T10:30:00-04:00,America/New_York,2026-03-20,regular,true,1h_rth,243.49,245.51,243.49,244.01,2698408.389022,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
IWM,2026-03-20T11:30:00-04:00,America/New_York,2026-03-20,regular,true,1h_rth,244.01,245.07,243.85,244.2903,1660414.0,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
IWM,2026-03-20T12:30:00-04:00,America/New_York,2026-03-20,regular,true,1h_rth,244.3,244.72,243.57,243.7,1902376.0,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
IWM,2026-03-20T13:30:00-04:00,America/New_York,2026-03-20,regular,true,1h_rth,243.69,243.83,241.9399,242.22,2589780.0,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
IWM,2026-03-20T14:30:00-04:00,America/New_York,2026-03-20,regular,true,1h_rth,242.21,242.33,241.04,241.29,2494283.0,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
IWM,2026-03-20T15:30:00-04:00,America/New_York,2026-03-20,regular,true,1h_rth,241.3,242.34,240.33,242.25,3462094.0,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
IWM,2026-03-23T09:30:00-04:00,America/New_York,2026-03-23,regular,true,1h_rth,247.17,250.14,246.12,249.1699,6099249.0,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
IWM,2026-03-23T10:30:00-04:00,America/New_York,2026-03-23,regular,true,1h_rth,249.15,251.36,248.62,250.495,3995985.0,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
IWM,2026-03-23T11:30:00-04:00,America/New_York,2026-03-23,regular,true,1h_rth,250.505,250.72,246.965,247.0,3331982.0,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
IWM,2026-03-23T12:30:00-04:00,America/New_York,2026-03-23,regular,true,1h_rth,246.97,248.28,246.94,247.725,2572259.0,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
