symbol,timestamp,timezone,session_date,session_type,regular_session,timeframe,open,high,low,close,volume,source,source_as_of,data_vendor,context_24h_status,context_24h_as_of,macro_context_status,macro_context_as_of,iv_context_status,iv_context_as_of,event_context_status,event_context_as_of,notes
QQQ,2026-03-16T15:30:00-04:00,America/New_York,2026-03-16,regular,true,1h_rth,600.68,600.89,599.53,600.31,2622309.530939,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-17T09:30:00-04:00,America/New_York,2026-03-17,regular,true,1h_rth,603.14,605.89,602.29,604.62,5770775.875336,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-17T10:30:00-04:00,America/New_York,2026-03-17,regular,true,1h_rth,604.63,605.32,603.36,603.38,3878353.579797,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-17T11:30:00-04:00,America/New_York,2026-03-17,regular,true,1h_rth,603.39,603.92,601.87,603.42,3676939.754937,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-17T12:30:00-04:00,America/New_York,2026-03-17,regular,true,1h_rth,603.43,604.045,602.87,603.57,1777069.03884,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-17T13:30:00-04:00,America/New_York,2026-03-17,regular,true,1h_rth,603.53,604.53,603.055,603.21,2160811.188931,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-17T14:30:00-04:00,America/New_York,2026-03-17,regular,true,1h_rth,603.2,603.71,602.685,603.31,2262542.694346,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-17T15:30:00-04:00,America/New_York,2026-03-17,regular,true,1h_rth,603.32,603.76,603.02,603.38,1946126.951437,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-18T09:30:00-04:00,America/New_York,2026-03-18,regular,true,1h_rth,601.49,603.15,598.71,598.97,5682626.432338,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-18T10:30:00-04:00,America/New_York,2026-03-18,regular,true,1h_rth,598.98,601.55,598.84,600.53,3949872.906202,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-18T11:30:00-04:00,America/New_York,2026-03-18,regular,true,1h_rth,600.53,601.2,599.9901,600.5,2397277.041156,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
