symbol,timestamp,timezone,session_date,session_type,regular_session,timeframe,open,high,low,close,volume,source,source_as_of,data_vendor,context_24h_status,context_24h_as_of,macro_context_status,macro_context_as_of,iv_context_status,iv_context_as_of,event_context_status,event_context_as_of,notes
SPY,2026-03-16T09:30:00-04:00,America/New_York,2026-03-16,regular,true,1h_rth,668.39,671.4,667.69,670.27,6845970.975219,dxlink_candles.get_1h_ema50_snapshot,2026-05-13T18:43:00Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
SPY,2026-03-16T10:30:00-04:00,America/New_York,2026-03-16,regular,true,1h_rth,670.27,670.35,667.575,670.06,4910385.924264,dxlink_candles.get_1h_ema50_snapshot,2026-05-13T18:43:00Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
SPY,2026-03-16T11:30:00-04:00,America/New_York,2026-03-16,regular,true,1h_rth,670.03,670.64,667.15,667.42,3915145.465681,dxlink_candles.get_1h_ema50_snapshot,2026-05-13T18:43:00Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
SPY,2026-03-16T12:30:00-04:00,America/New_York,2026-03-16,regular,true,1h_rth,667.45,669.74,667.12,669.205,2830603.30957,dxlink_candles.get_1h_ema50_snapshot,2026-05-13T18:43:00Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
SPY,2026-03-16T13:30:00-04:00,America/New_York,2026-03-16,regular,true,1h_rth,669.205,670.08,667.98,669.8,3121353.063304,dxlink_candles.get_1h_ema50_snapshot,2026-05-13T18:43:00Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
SPY,2026-03-16T14:30:00-04:00,America/New_York,2026-03-16,regular,true,1h_rth,669.79,672.07,668.7,669.27,5411638.713243,dxlink_candles.get_1h_ema50_snapshot,2026-05-13T18:43:00Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
SPY,2026-03-16T15:30:00-04:00,America/New_York,2026-03-16,regular,true,1h_rth,669.25,669.42,668.42,668.95,4275420.427887,dxlink_candles.get_1h_ema50_snapshot,2026-05-13T18:43:00Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
SPY,2026-03-17T09:30:00-04:00,America/New_York,2026-03-17,regular,true,1h_rth,672.36,674.44,671.56,672.5501,6516784.753033,dxlink_candles.get_1h_ema50_snapshot,2026-05-13T18:43:00Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
SPY,2026-03-17T10:30:00-04:00,America/New_York,2026-03-17,regular,true,1h_rth,672.57,673.46,671.61,671.635,3444258.536732,dxlink_candles.get_1h_ema50_snapshot,2026-05-13T18:43:00Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
SPY,2026-03-17T11:30:00-04:00,America/New_York,2026-03-17,regular,true,1h_rth,671.63,672.19,669.85,671.22,3900740.032377,dxlink_candles.get_1h_ema50_snapshot,2026-05-13T18:43:00Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
SPY,2026-03-17T12:30:00-04:00,America/New_York,2026-03-17,regular,true,1h_rth,671.2,671.94,670.72,671.53,2621525.318351,dxlink_candles.get_1h_ema50_snapshot,2026-05-13T18:43:00Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
SPY,2026-03-17T13:30:00-04:00,America/New_York,2026-03-17,regular,true,1h_rth,671.53,672.3,670.87,670.9,3078956.949816,dxlink_candles.get_1h_ema50_snapshot,2026-05-13T18:43:00Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
SPY,2026-03-17T14:30:00-04:00,America/New_York,2026-03-17,regular,true,1h_rth,670.9,671.6001,670.59,671.04,3665590.0,dxlink_candles.get_1h_ema50_snapshot,2026-05-13T18:43:00Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
SPY,2026-03-17T15:30:00-04:00,America/New_York,2026-03-17,regular,true,1h_rth,671.04,671.28,670.47,670.75,3349252.74592,dxlink_candles.get_1h_ema50_snapshot,2026-05-13T18:43:00Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
SPY,2026-03-18T09:30:00-04:00,America/New_York,2026-03-18,regular,true,1h_rth,668.35,669.72,665.72,665.96,5991855.819986,dxlink_candles.get_1h_ema50_snapshot,2026-05-13T18:43:00Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
SPY,2026-03-18T10:30:00-04:00,America/New_York,2026-03-18,regular,true,1h_rth,665.97,668.0,665.6635,666.915,3715579.268466,dxlink_candles.get_1h_ema50_snapshot,2026-05-13T18:43:00Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
